claim_id	lane	file	line	kind	token	in_fence	verbatim	proposed_check	verdict	evidence	severity	settled_by	quotable	blind_verdict	blind_evidence	disposition	mech_verdict	mech_evidence	fix_status	ext_verdict	ext_evidence	tiebreak
C0001-f951b14b	P0	.ai-docs/TEE_Attestation_Architecture.md	44	repo_path	blockchainapi/model_tags.go	0	- `IsTeeModel()` helper for on-chain tag detection — **DONE** (`blockchainapi/model_tags.go`)		TRUE	resolves to proxy-router/internal/blockchainapi/model_tags.go	-	script	yes									
C0002-33448f3f	P0	.ai-docs/TEE_Attestation_Architecture.md	45	repo_path	attestation/verifier.go	0	- Consumer-side attestation verification before session creation (fetches quote from SecretVM host endpoint at `:29343`, verifies via SecretAI portal, compares to manifest) — **DONE** (`attestation/ve		TRUE	resolves to proxy-router/internal/attestation/verifier.go	-	script	yes									
C0003-6501e022	P0	.ai-docs/TEE_Attestation_Architecture.md	45	repo_path	blockchainapi/service.go	0	- Consumer-side attestation verification before session creation (fetches quote from SecretVM host endpoint at `:29343`, verifies via SecretAI portal, compares to manifest) — **DONE** (`attestation/ve		TRUE	resolves to proxy-router/internal/blockchainapi/service.go	-	script	yes									
C0004-917e94c4	P0	.ai-docs/TEE_Attestation_Architecture.md	45	repo_path	proxyapi/proxy_sender.go	0	- Consumer-side attestation verification before session creation (fetches quote from SecretVM host endpoint at `:29343`, verifies via SecretAI portal, compares to manifest) — **DONE** (`attestation/ve		TRUE	resolves to proxy-router/internal/proxyapi/proxy_sender.go	-	script	yes									
C0005-45ffc3e9	P0	.ai-docs/TEE_Attestation_Architecture.md	65	env	ARTIFACT_REGISTRY_URL	0	- Artifact registry auto-refresh (`ArtifactRegistry`) — **DONE** (configurable via `ARTIFACT_REGISTRY_URL`, `ARTIFACT_REGISTRY_REFRESH_INTERVAL`)		TRUE	proxy-router/internal/config/config.go:101	-	script	yes									
C0006-6417ac4c	P0	.ai-docs/TEE_Attestation_Architecture.md	65	env	ARTIFACT_REGISTRY_REFRESH_INTERVAL	0	- Artifact registry auto-refresh (`ArtifactRegistry`) — **DONE** (configurable via `ARTIFACT_REGISTRY_URL`, `ARTIFACT_REGISTRY_REFRESH_INTERVAL`)		TRUE	proxy-router/internal/config/config.go:103	-	script	yes									
C0007-49e23b88	P0	.ai-docs/TEE_Attestation_Architecture.md	74	env	SECRETVM_TEST_SEV_VM_UUID	0	- Auto-deploy + RTMR3-style verification for an SEV test VM (TDX-only today; needs SEV-flavoured offsets and a separate `SECRETVM_TEST_SEV_VM_UUID`)		TRUE	verifier.go/backend_verifier.go show TDX-only support today; doc explicitly frames SECRETVM_TEST_SEV_VM_UUID as a future TODO need, matching reality that it doesn't exist yet.	-	L7-tee	yes									
C0008-86380416	P0	.ai-docs/TEE_Attestation_Architecture.md	101	env	TEE_PORTAL_URL	0	| **Quote parse API (TDX)** | `POST https://secretai.scrtlabs.com/api/quote-parse` | Parse Intel TDX quotes (hex) into human-readable fields. Default `TEE_PORTAL_URL`. |		TRUE	proxy-router/internal/config/config.go:99	-	script	yes									
C0009-9e72d04e	P0	.ai-docs/TEE_Attestation_Architecture.md	104	external_url	https://github.com/scrtlabs/reproduce-mr	0	| **`reproduce-mr` tool** | [github.com/scrtlabs/reproduce-mr](https://github.com/scrtlabs/reproduce-mr) | Compute expected RTMR values (Intel TDX) from VM artifacts + docker-compose. CI uses our stan		UNVERIFIABLE-IN-REPO	external URL — out of scope (in-repo reach)	-	script	yes									
C0010-189e8745	P0	.ai-docs/TEE_Attestation_Architecture.md	105	external_url	https://github.com/scrtlabs/secretvm-verify	0	| **SecretVM SEV verifier** | [github.com/scrtlabs/secretvm-verify](https://github.com/scrtlabs/secretvm-verify) | TypeScript reference verifier; the Go port lives at `proxy-router/internal/attestatio		UNVERIFIABLE-IN-REPO	external URL — out of scope (in-repo reach)	-	script	yes									
